network,mnps_axis,task1,task2,wilcoxon_stat,p,cohen_d,n_pairs,p_fdr,sig_fdr05
frontal,m_median,gambling,cognitive_control,436.0,0.4985244839349434,-0.11957508213672319,44,0.7802991922459984,False
frontal,m_median,gambling,rest,449.0,0.5988264708680617,0.059635216500550925,44,0.8291443442788548,False
frontal,m_median,cognitive_control,rest,428.0,0.31833578633523985,0.10962312565232794,45,0.6934114767545372,False
frontal,d_median,gambling,cognitive_control,442.0,0.5437091915644032,0.07824170225702107,44,0.8052508176309857,False
frontal,d_median,gambling,rest,326.0,0.04855626556422976,-0.2989016260824197,44,0.29133759338537857,False
frontal,d_median,cognitive_control,rest,379.0,0.12003664436980443,-0.29487169011176634,45,0.39284719975572363,False
frontal,e_median,gambling,cognitive_control,476.0,0.8307513053526918,0.03450186005086879,44,0.9647434513773195,False
frontal,e_median,gambling,rest,288.0,0.01490898651900352,0.40086579452033017,44,0.15055597977971047,False
frontal,e_median,cognitive_control,rest,314.0,0.02091055274718201,0.3962035333677715,45,0.15055597977971047,False
central,m_median,gambling,cognitive_control,215.0,0.0007802155257650156,0.5712395795817355,44,0.020393621324274136,True
central,m_median,gambling,rest,388.0,0.2162267330971872,0.17271669935284809,44,0.5560115993927671,False
central,m_median,cognitive_control,rest,394.0,0.16656971025480516,-0.17679885890712974,45,0.4997091307644155,False
central,d_median,gambling,cognitive_control,343.0,0.07692739918388725,-0.2898311497190855,44,0.3461732963274926,False
central,d_median,gambling,rest,432.0,0.46952657598330916,-0.09960086447011103,44,0.7802991922459984,False
central,d_median,cognitive_control,rest,497.0,0.8231113822151315,0.03367460787708257,45,0.9647434513773195,False
central,e_median,gambling,cognitive_control,432.0,0.46952657598330916,-0.12456666368037361,44,0.7802991922459984,False
central,e_median,gambling,rest,383.0,0.19520418640104253,-0.20690686895861882,44,0.5405654392644255,False
central,e_median,cognitive_control,rest,456.0,0.494766804982703,-0.07334388384334213,45,0.7802991922459984,False
parietal_occipital,m_median,gambling,cognitive_control,410.0,0.32744430846742034,-0.12146910683749089,44,0.6934114767545372,False
parietal_occipital,m_median,gambling,rest,490.0,0.9585423664533437,-0.016027919709068094,44,0.9732548414619373,False
parietal_occipital,m_median,cognitive_control,rest,424.0,0.2969247733132079,0.07875834125349518,45,0.6934114767545372,False
parietal_occipital,d_median,gambling,cognitive_control,444.0,0.5592019566881845,-0.06883711315694802,44,0.8052508176309857,False
parietal_occipital,d_median,gambling,rest,351.0,0.09422753087710589,-0.28083366827835865,44,0.37691012350842357,False
parietal_occipital,d_median,cognitive_control,rest,436.0,0.3640527122769299,-0.15495067926056558,45,0.7281054245538598,False
parietal_occipital,e_median,gambling,cognitive_control,482.0,0.8851802090905494,0.006299264028129693,44,0.9732548414619373,False
parietal_occipital,e_median,gambling,rest,452.0,0.6231837194991385,-0.04157883672146209,44,0.8309116259988514,False
parietal_occipital,e_median,cognitive_control,rest,514.0,0.9732548414619373,-0.01550389169625042,45,0.9732548414619373,False
temporal,m_median,gambling,cognitive_control,420.0,0.38827071529078694,0.11503913829408095,44,0.7356708289720174,False
temporal,m_median,gambling,rest,223.0,0.0011329789624596742,0.4544577617344325,44,0.020393621324274136,True
temporal,m_median,cognitive_control,rest,359.0,0.07433860130646508,0.31700626161885437,45,0.3461732963274926,False
temporal,d_median,gambling,cognitive_control,465.0,0.7331740415289687,0.0702475071408078,44,0.9101470860359612,False
temporal,d_median,gambling,rest,490.0,0.9585423664533437,-0.00416064056267643,44,0.9732548414619373,False
temporal,d_median,cognitive_control,rest,508.0,0.9198822334947749,-0.0474987838476575,45,0.9732548414619373,False
temporal,e_median,gambling,cognitive_control,295.0,0.018841584270489875,-0.3362539934519483,44,0.15055597977971047,False
temporal,e_median,gambling,rest,464.0,0.724484269518257,-0.0004996416322852778,44,0.9101470860359612,False
temporal,e_median,cognitive_control,rest,379.0,0.12003664436980443,0.22743655819031672,45,0.39284719975572363,False
