task,geometry,r_resp_controlling_hrv,p_resp_controlling_hrv,r_hrv_controlling_resp,p_hrv_controlling_resp,n
gambling,block_frobenius_mean,-0.18643343030556506,0.23129457310636609,0.20949909716023604,0.1775574287852185,44
gambling,c_rot_mean,-0.19308718632915126,0.21476785238313276,0.18683390551088902,0.23027594533002316,44
gambling,m_median,-0.11824771005208096,0.4501237636055082,0.05933123914774165,0.7054828188566279,44
cognitive_control,block_frobenius_mean,-0.14997583354797425,0.33120074829131974,0.05638490651404658,0.7162035383684613,45
cognitive_control,c_rot_mean,-0.16571812147385268,0.28234834880553944,0.04055211077512658,0.7938180682588403,45
cognitive_control,m_median,-0.4098552941582529,0.005728353503556039,0.00965546559012186,0.9503998235100308,45
rest,block_frobenius_mean,-0.17529473977783536,0.255062466007894,0.013138851464975088,0.9325413480405517,45
rest,c_rot_mean,-0.1773841365499608,0.24935267666678554,-0.0020483150564706153,0.9894715491378612,45
rest,m_median,-0.001980281571827763,0.9898212263531485,0.09124190722085256,0.5558360531267439,45
