task,physio,geometry,spearman_r,p,n,p_fdr,sig_fdr05
gambling,resp_anchor_index,block_frobenius_mean,-0.1441860465116279,0.35041733075903914,44,0.9808121896251871,False
gambling,resp_anchor_index,c_rot_mean,-0.15644820295983086,0.3105128020366769,44,0.9808121896251871,False
gambling,resp_anchor_index,m_median,-0.10838618745595488,0.4837259211221593,44,0.9808121896251871,False
gambling,resp_anchor_index,d_median,0.1712473572938689,0.26637047855657914,44,0.9808121896251871,False
gambling,resp_anchor_index,e_median,-0.2114164904862579,0.16831576567719622,44,0.9808121896251871,False
gambling,ecg_hrv_rmssd_ms,block_frobenius_mean,0.1733615221987315,0.260422902912045,44,0.9808121896251871,False
gambling,ecg_hrv_rmssd_ms,c_rot_mean,0.1485553206483439,0.33585353281477426,44,0.9808121896251871,False
gambling,ecg_hrv_rmssd_ms,m_median,0.03551797040169133,0.8189550519261642,44,0.9808121896251871,False
gambling,ecg_hrv_rmssd_ms,d_median,0.056659619450317125,0.7148789982422439,44,0.9808121896251871,False
gambling,ecg_hrv_rmssd_ms,e_median,0.01113460183227625,0.942813211989914,44,0.9808121896251871,False
gambling,cardioresp_rsa_amplitude,block_frobenius_mean,0.1200845665961945,0.4374919605148171,44,0.9808121896251871,False
gambling,cardioresp_rsa_amplitude,c_rot_mean,0.09302325581395349,0.5481148834408933,44,0.9808121896251871,False
gambling,cardioresp_rsa_amplitude,m_median,0.06624383368569414,0.6692105230475627,44,0.9808121896251871,False
gambling,cardioresp_rsa_amplitude,d_median,0.01804087385482734,0.9074671754936772,44,0.9808121896251871,False
gambling,cardioresp_rsa_amplitude,e_median,-0.010711768851303736,0.9449814760108011,44,0.9808121896251871,False
cognitive_control,resp_anchor_index,block_frobenius_mean,-0.14176548089591567,0.35292329864492167,45,0.9808121896251871,False
cognitive_control,resp_anchor_index,c_rot_mean,-0.16100131752305663,0.2907173283576336,45,0.9808121896251871,False
cognitive_control,resp_anchor_index,m_median,-0.4150197628458498,0.004585728172240883,45,0.20635776775083972,False
cognitive_control,resp_anchor_index,d_median,0.28194993412384717,0.06059731513175329,45,0.9808121896251871,False
cognitive_control,resp_anchor_index,e_median,0.026218708827404475,0.8642548828959589,45,0.9808121896251871,False
cognitive_control,ecg_hrv_rmssd_ms,block_frobenius_mean,0.02714097496706192,0.8595270116986586,45,0.9808121896251871,False
cognitive_control,ecg_hrv_rmssd_ms,c_rot_mean,0.007905138339920948,0.9588969927510325,45,0.9808121896251871,False
cognitive_control,ecg_hrv_rmssd_ms,m_median,-0.07220026350461133,0.6374116717792482,45,0.9808121896251871,False
cognitive_control,ecg_hrv_rmssd_ms,d_median,-0.04795783926218709,0.7544037225310464,45,0.9808121896251871,False
cognitive_control,ecg_hrv_rmssd_ms,e_median,0.0036890645586297754,0.9808121896251871,45,0.9808121896251871,False
cognitive_control,cardioresp_rsa_amplitude,block_frobenius_mean,0.014097496706192357,0.9267678067696251,45,0.9808121896251871,False
cognitive_control,cardioresp_rsa_amplitude,c_rot_mean,-0.008959156785243741,0.9534222477014542,45,0.9808121896251871,False
cognitive_control,cardioresp_rsa_amplitude,m_median,-0.09999999999999998,0.5133793686006831,45,0.9808121896251871,False
cognitive_control,cardioresp_rsa_amplitude,d_median,-0.007246376811594202,0.9623196741711646,45,0.9808121896251871,False
cognitive_control,cardioresp_rsa_amplitude,e_median,-0.041106719367588924,0.7886178581816189,45,0.9808121896251871,False
rest,resp_anchor_index,block_frobenius_mean,-0.17628458498023714,0.24671109107428332,45,0.9808121896251871,False
rest,resp_anchor_index,c_rot_mean,-0.18142292490118575,0.23298561891890587,45,0.9808121896251871,False
rest,resp_anchor_index,m_median,0.01686429512516469,0.9124463400229538,45,0.9808121896251871,False
rest,resp_anchor_index,d_median,0.006324110671936758,0.9671125401139753,45,0.9808121896251871,False
rest,resp_anchor_index,e_median,0.06956521739130433,0.6497736726443427,45,0.9808121896251871,False
rest,ecg_hrv_rmssd_ms,block_frobenius_mean,-0.0230566534914361,0.8804993641406614,45,0.9808121896251871,False
rest,ecg_hrv_rmssd_ms,c_rot_mean,-0.03873517786561265,0.8005570912403228,45,0.9808121896251871,False
rest,ecg_hrv_rmssd_ms,m_median,0.09275362318840578,0.5445082343268067,45,0.9808121896251871,False
rest,ecg_hrv_rmssd_ms,d_median,-0.11752305665349141,0.4419800586784015,45,0.9808121896251871,False
rest,ecg_hrv_rmssd_ms,e_median,0.08247694334650855,0.5901476380830453,45,0.9808121896251871,False
rest,cardioresp_rsa_amplitude,block_frobenius_mean,-0.0670619235836627,0.6616044181912979,45,0.9808121896251871,False
rest,cardioresp_rsa_amplitude,c_rot_mean,-0.09433465085638998,0.5376400987743636,45,0.9808121896251871,False
rest,cardioresp_rsa_amplitude,m_median,0.032542819499341236,0.8319378387089545,45,0.9808121896251871,False
rest,cardioresp_rsa_amplitude,d_median,-0.1852437417654809,0.2231245433076189,45,0.9808121896251871,False
rest,cardioresp_rsa_amplitude,e_median,0.06903820816864295,0.6522574103335784,45,0.9808121896251871,False
