mnj_metric,task1,task2,wilcoxon_stat,p,cohen_d,n_pairs,p_fdr,sig_fdr05
frobenius_norm,gambling,cognitive_control,4.0,7.958078640513122e-13,1.6204389039808829,44,5.5706550483591855e-12,True
frobenius_norm,gambling,rest,143.0,1.3530098499359156e-05,0.7382511474892937,44,2.8413206848654227e-05,True
frobenius_norm,cognitive_control,rest,413.0,0.2430136747342999,-0.22887242098955768,45,0.2835159538566832,False
rotation_norm,gambling,cognitive_control,66.0,2.2134940991236363e-08,1.005344673207336,44,7.747229346932727e-08,True
rotation_norm,gambling,rest,405.0,0.2994407710264113,0.09821434291356415,44,0.3309608521870862,False
rotation_norm,cognitive_control,rest,319.0,0.024408720410121987,-0.4010240785546425,45,0.03417220857417078,True
trace,gambling,cognitive_control,370.0,0.1474951547022556,-0.2398467851018099,44,0.18219989698513928,False
trace,gambling,rest,411.0,0.33323858081485014,-0.13811680772645246,44,0.3499005098555926,False
trace,cognitive_control,rest,479.0,0.67089655181951,0.0858918762693268,45,0.67089655181951,False
spectral_radius,gambling,cognitive_control,3.0,5.684341886080801e-13,1.8081617619666461,44,5.5706550483591855e-12,True
spectral_radius,gambling,rest,2.0,3.410605131648481e-13,1.9793846501718109,44,5.5706550483591855e-12,True
spectral_radius,cognitive_control,rest,376.0,0.11206240987985439,0.26756441343232534,45,0.14708191296730888,False
rotational_power,gambling,cognitive_control,72.0,4.1240582504542544e-08,-1.025436699944962,44,1.0825652907442418e-07,True
rotational_power,gambling,rest,16.0,1.921307557495311e-11,-1.4102971927084342,44,8.069491741480305e-11,True
rotational_power,cognitive_control,rest,174.0,4.846123255219936e-05,-0.7100086710643786,45,7.828352950739897e-05,True
aci,gambling,cognitive_control,70.0,3.362197276146617e-08,-1.0154020296267017,44,1.008659182843985e-07,True
aci,gambling,rest,16.0,1.921307557495311e-11,-1.3396291559791158,44,8.069491741480305e-11,True
aci,cognitive_control,rest,169.0,3.6132389936938125e-05,-0.7126626692125039,45,6.323168238964172e-05,True
mdr,gambling,cognitive_control,253.0,0.0040941203583315655,0.4204113029935744,44,0.006141180537497348,True
mdr,gambling,rest,84.0,1.3223484529589768e-07,1.0216059184101838,44,3.085479723570946e-07,True
mdr,cognitive_control,rest,164.0,2.6757039563563012e-05,0.7029930655786328,45,5.1081620984983935e-05,True
