family,metric,cohen_dz,p,p_fdr,sig_fdr05
MNJ,spectral_radius,1.808161761966646,5.684341886080801e-13,5.5706550483591855e-12,True
MNJ,frobenius_norm,1.6204389039808829,7.958078640513122e-13,5.5706550483591855e-12,True
MNJ,rotational_power,-1.025436699944962,4.1240582504542544e-08,1.0825652907442419e-07,True
MNJ,aci,-1.0154020296267017,3.3621972761466174e-08,1.008659182843985e-07,True
MNJ,rotation_norm,1.005344673207336,2.2134940991236366e-08,7.747229346932728e-08,True
conventional_eeg,eeg_conventional_relative_theta,0.6338731096629207,0.00016963173925432784,0.0003540140645307711,True
MNJ,mdr,0.4204113029935744,0.0040941203583315,0.0061411805374973,True
conventional_eeg,eeg_conventional_ratio_alpha_theta,-0.3762550567973692,0.023629227170545164,0.03780676347287226,True
conventional_eeg,eeg_conventional_peak_spectral_edge_95,-0.36152349779997073,0.008168734191485783,0.014522194118196947,True
conventional_eeg,eeg_conventional_ratio_theta_alpha,0.305656120011019,0.03743385246366415,0.05615077869549623,False
conventional_eeg,eeg_conventional_complexity_hjorth_complexity,0.28805030419081695,0.03032758434085281,0.04695884026970758,True
MNJ,trace,-0.2398467851018099,0.1474951547022556,0.1935873905467104,False
conventional_eeg,eeg_conventional_relative_alpha,-0.23176294440450762,0.41437451547221826,0.45204492596969265,False
conventional_eeg,eeg_conventional_relative_gamma,-0.2253751722583659,0.06395960447559901,0.0877160289951072,False
conventional_eeg,eeg_conventional_complexity_permutation_entropy,-0.22074233150476477,0.1117467520007267,0.14496875935229409,False
conventional_eeg,eeg_conventional_ratio_slowing_index,0.21866780813789566,0.28341325604878875,0.33180088513028927,False
conventional_eeg,eeg_conventional_peak_alpha_frequency,-0.21665174694961314,0.17231349962321674,0.2176591574188001,False
conventional_eeg,eeg_conventional_complexity_spectral_entropy,-0.2033344380490399,0.06226057020364806,0.0877160289951072,False
conventional_eeg,eeg_conventional_relative_delta,0.16873824537951265,0.44146738626943716,0.4708985453540663,False
conventional_eeg,eeg_conventional_ratio_delta_alpha,0.16381304381446632,0.28341325604878875,0.33180088513028927,False
conventional_eeg,eeg_conventional_peak_median_frequency,-0.14928129858947164,0.369352905051187,0.4123009172664413,False
conventional_eeg,eeg_conventional_ratio_beta_alpha,0.0977880122566153,0.4766892327322694,0.4974148515467159,False
conventional_eeg,eeg_conventional_relative_beta,0.008512758536333702,0.9034548557265225,0.9034548557265225,False
