subject_id,gambling,cognitive_control,rest
sub-S200116,875,227,126
sub-S200120,896,248,124
sub-S200121,958,246,127
sub-S200122,904,261,127
sub-S200131,1021,266,126
sub-S200203,0,329,127
sub-S200205,912,268,128
sub-S200207,897,266,139
sub-S200211,876,240,125
sub-S200212,916,254,124
sub-S200214,885,241,127
sub-S200217,600,242,124
sub-S200221,935,266,126
sub-S200225,966,265,125
sub-S200228,916,271,123
sub-S200302,909,269,125
sub-S200303,880,260,124
sub-S200306,867,247,146
sub-S200309,866,250,124
sub-S200310,947,261,124
sub-S200311,886,263,121
sub-S200313,894,246,122
sub-S201105,933,267,125
sub-S201118,900,264,124
sub-S201120,909,261,124
sub-S201126,949,332,125
sub-S201210,951,273,150
sub-S201222,880,268,125
sub-S201223,954,259,123
sub-S210118,943,270,125
sub-S210120,954,279,123
sub-S210127,891,271,127
sub-S210128,898,267,130
sub-S210202,967,247,126
sub-S210203,901,257,124
sub-S210204,940,253,124
sub-S210208,858,251,124
sub-S210209,902,240,124
sub-S210215,877,256,123
sub-S210217,909,261,122
sub-S210224,887,259,124
sub-S210225,908,246,126
sub-S210315,914,268,124
sub-S210316,1164,282,124
sub-S210317,878,263,123
