mnps_axis,task1,task2,wilcoxon_stat,p,cohen_d,n_pairs,p_fdr,sig_fdr05
m_median,gambling,cognitive_control,425.0,0.4210558137301632,0.12117722658377332,44,0.5413574747959241,False
m_median,gambling,rest,361.0,0.11998390212079357,0.2068167130117142,44,0.5399275595435711,False
m_median,cognitive_control,rest,442.0,0.40084836913968047,0.10095382322077882,45,0.5413574747959241,False
d_median,gambling,cognitive_control,418.0,0.3755955050718285,-0.07102002574216836,44,0.5413574747959241,False
d_median,gambling,rest,380.0,0.18331793663844564,-0.2685437451659588,44,0.5413574747959241,False
d_median,cognitive_control,rest,469.0,0.5913168606573436,-0.17726634672029046,45,0.6652314682395115,False
e_median,gambling,cognitive_control,355.0,0.10395330785195256,-0.2558687018751745,44,0.5399275595435711,False
e_median,gambling,rest,488.0,0.940145439269827,0.04436694430013967,44,0.940145439269827,False
e_median,cognitive_control,rest,414.0,0.2476155896002865,0.21256563509448714,45,0.5413574747959241,False
