network,task,spearman_r,p,n,p_fdr,sig_fdr05
frontal,gambling,-0.1653276955602537,0.28349974068676403,44,0.5760037176512812,False
frontal,cognitive_control,-0.10052700922266139,0.5111508587760065,45,0.7221885425033534,False
frontal,rest,-0.14677206851119895,0.33600216862991406,45,0.5760037176512812,False
central,gambling,-0.16730091613812542,0.27771192394509486,44,0.5760037176512812,False
central,cognitive_control,-0.27878787878787875,0.06366818239343305,45,0.5760037176512812,False
central,rest,-0.1542819499341238,0.31158307236154986,45,0.5760037176512812,False
parietal_occipital,gambling,-0.06525722339675827,0.6738609546837915,44,0.7351210414732271,False
parietal_occipital,cognitive_control,-0.034255599472990776,0.8232299655154549,45,0.823229965515455,False
parietal_occipital,rest,-0.19288537549407114,0.20427564513990382,45,0.5760037176512812,False
temporal,gambling,-0.24073291050035234,0.11545972872400151,44,0.5760037176512812,False
temporal,cognitive_control,-0.09341238471673252,0.541641406877515,45,0.7221885425033534,False
temporal,rest,0.07048748353096179,0.6454361657643632,45,0.7351210414732271,False
