sample,mnj_metric,task1,task2,wilcoxon_stat,p,cohen_d,n_pairs,p_fdr,sig_fdr05
intersection_full,frobenius_norm,gambling,cognitive_control,4.0,7.958078640513122e-13,1.6204389039808829,44,5.5706550483591855e-12,True
intersection_full,frobenius_norm,gambling,rest,143.0,1.3530098499359156e-05,0.7382511474892937,44,2.8413206848654227e-05,True
intersection_full,frobenius_norm,cognitive_control,rest,376.0,0.16829864982082654,-0.26314269359190756,44,0.1963484247909643,False
intersection_full,rotation_norm,gambling,cognitive_control,66.0,2.2134940991236363e-08,1.005344673207336,44,7.747229346932727e-08,True
intersection_full,rotation_norm,gambling,rest,405.0,0.2994407710264113,0.09821434291356415,44,0.3309608521870862,False
intersection_full,rotation_norm,cognitive_control,rest,287.0,0.014409437020276528,-0.4278895178456994,44,0.02017321182838714,True
intersection_full,spectral_radius,gambling,cognitive_control,3.0,5.684341886080801e-13,1.8081617619666461,44,5.5706550483591855e-12,True
intersection_full,spectral_radius,gambling,rest,2.0,3.410605131648481e-13,1.9793846501718109,44,5.5706550483591855e-12,True
intersection_full,spectral_radius,cognitive_control,rest,375.0,0.1646893304614423,0.23330654515263904,44,0.1963484247909643,False
intersection_full,rotational_power,gambling,cognitive_control,72.0,4.1240582504542544e-08,-1.025436699944962,44,1.0825652907442418e-07,True
intersection_full,rotational_power,gambling,rest,16.0,1.921307557495311e-11,-1.4102971927084342,44,8.069491741480305e-11,True
intersection_full,rotational_power,cognitive_control,rest,167.0,6.10429111702615e-05,-0.7108999257582097,44,9.860777958273012e-05,True
intersection_full,aci,gambling,cognitive_control,70.0,3.362197276146617e-08,-1.0154020296267017,44,1.008659182843985e-07,True
intersection_full,aci,gambling,rest,16.0,1.921307557495311e-11,-1.3396291559791158,44,8.069491741480305e-11,True
intersection_full,aci,cognitive_control,rest,163.0,4.806011963864876e-05,-0.7139765105021327,44,8.410520936763533e-05,True
intersection_full,mdr,gambling,cognitive_control,253.0,0.0040941203583315655,0.4204113029935744,44,0.006141180537497348,True
intersection_full,mdr,gambling,rest,84.0,1.3223484529589768e-07,1.0216059184101838,44,3.085479723570946e-07,True
intersection_full,mdr,cognitive_control,rest,162.0,4.5238813072501216e-05,0.6930440413711779,44,8.410520936763533e-05,True
intersection_full,trace,gambling,cognitive_control,370.0,0.1474951547022556,-0.2398467851018099,44,0.19358739054671048,False
intersection_full,trace,gambling,rest,411.0,0.33323858081485014,-0.13811680772645246,44,0.3499005098555926,False
intersection_full,trace,cognitive_control,rest,475.0,0.8217495229185943,0.06330972381686058,44,0.8217495229185943,False
